City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Alfred,ZA,66.45,clear sky,-33.5906,26.891,The Halyards Hotel
3,San Cristobal,VE,84.2,few clouds,7.7669,-72.225,Posada Villaven C.A.
4,Pisco,PE,66.99,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
11,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Lindi,TZ,72.32,broken clouds,-10.0,39.7167,Lindi paradise house
18,Hilo,US,82.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Oriximina,BR,76.1,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
20,Rikitea,PF,78.75,overcast clouds,-23.1203,-134.9692,Pension Maro'i
21,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
23,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
25,Faanui,PF,80.17,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Antalaha,MG,72.59,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
33,Trairi,BR,78.96,overcast clouds,-3.2778,-39.2689,janelas do mar
35,Itarema,BR,79.65,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
39,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
40,Saraipali,IN,81.25,scattered clouds,21.3333,83.0,UTTAR KUMAR SIDAR
42,Hithadhoo,MV,81.95,clear sky,-0.6,73.0833,Scoop Guest House
43,Cidreira,BR,70.57,clear sky,-30.1811,-50.2056,Hotel Castelo
50,Cravo Norte,CO,88.48,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
55,Atar,MR,80.76,clear sky,20.5169,-13.0499,Oumou Elghoura
61,Gazojak,TM,69.1,overcast clouds,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
62,Poum,NC,79.47,overcast clouds,-20.2333,164.0167,Gîte kajeon
64,Colomi,BO,68.0,scattered clouds,-17.35,-65.8667,Residencial EL TURISMO
66,Sakleshpur,IN,68.4,broken clouds,12.9667,75.7833,Bungalow inside Coffee estates in Sakleshpur
68,Araceli,PH,80.04,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
69,Bucerias,MX,82.4,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
71,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Tabas,IR,79.39,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
76,Garmsar,IR,74.8,overcast clouds,35.2182,52.3409,Peyvand Hotel
77,Kloulklubed,PW,84.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
80,Los Llanos De Aridane,ES,68.0,scattered clouds,28.6585,-17.9182,Valle Aridane
83,Kathu,TH,84.99,few clouds,7.9178,98.3332,Novotel Phuket Resort
85,Bandarbeyla,SO,82.71,overcast clouds,9.4942,50.8122,JABIR HOTEL
88,Artesia,US,66.2,scattered clouds,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
91,Atuona,PF,80.29,scattered clouds,-9.8,-139.0333,Villa Enata
93,Caravelas,BR,74.84,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
95,Chuy,UY,66.69,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
97,Bundaberg,AU,71.6,broken clouds,-24.85,152.35,Takalvan Motel
101,Naze,JP,68.0,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
102,Mar Del Plata,AR,69.01,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
104,Vaini,TO,84.2,few clouds,-21.2,-175.2,Keleti Beach Resort
106,Omboue,GA,78.13,overcast clouds,-1.5746,9.2618,Hotel Olako
107,Arraial Do Cabo,BR,74.88,few clouds,-22.9661,-42.0278,Pousada Porto Praia
108,Kasaragod,IN,78.8,few clouds,12.5,75.0,Thalathoor Heritage
115,Fort Abbas,PK,74.1,clear sky,29.1925,72.8536,AsAd's House
120,Saint George,US,81.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
122,Kahului,US,84.2,few clouds,20.8947,-156.47,Maui Seaside Hotel
123,Bengkulu,ID,73.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
127,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
129,Fayaoue,NC,79.5,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
131,Vila Velha,BR,77.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
134,Ahipara,NZ,66.07,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
135,Kapaa,US,80.6,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
139,Georgetown,MY,78.8,moderate rain,5.4112,100.3354,Cititel Penang
143,Qeshm,IR,77.0,haze,26.9581,56.2719,Qeshm Kavan Hotel
146,Puerto Escondido,MX,86.0,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
148,Saint-Pierre,RE,77.0,few clouds,-21.3393,55.4781,Lindsey Hôtel
150,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
153,Kununurra,AU,77.0,broken clouds,-15.7667,128.7333,Hotel Kununurra
155,Namatanai,PG,80.01,overcast clouds,-3.6667,152.4333,Namatanai Hotel
156,Khash,IR,67.46,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
157,Sinnamary,GF,77.5,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
161,San Rafael Del Sur,NI,89.6,few clouds,11.8485,-86.4384,Hospedaje El Chino
166,Dakar,SN,68.0,broken clouds,14.6937,-17.4441,Redface Studios Meublés
171,Nanakuli,US,82.4,broken clouds,21.3906,-158.1547,Camp Pālehua
174,Dingle,PH,80.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
177,Inhambane,MZ,67.51,broken clouds,-23.865,35.3833,Oceano
178,Hue,VN,78.8,few clouds,16.4667,107.6,Saigon Morin Hotel
179,Samarai,PG,83.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
181,Gizo,SB,83.53,overcast clouds,-8.103,156.8419,Imagination Island
182,Maragogi,BR,78.46,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
183,Santa Cruz,BO,71.6,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
184,Butaritari,KI,82.15,light rain,3.0707,172.7902,Isles Sunset Lodge
188,Acapulco,MX,84.2,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
192,Ugoofaaru,MV,82.83,few clouds,5.6667,73.0,Ungoofaaru Inn
193,Najran,SA,71.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
197,Port-Gentil,GA,80.87,broken clouds,-0.7193,8.7815,Fengshui Residence
198,Noumea,NC,82.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
199,Miracema Do Tocantins,BR,76.12,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
204,Faya,SA,66.2,few clouds,18.3851,42.4509,مقبرة ال مجمل
205,Manadhoo,MV,82.98,few clouds,5.7667,73.3833,Vevu Guesthouse
206,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
211,Oussouye,SN,75.2,clear sky,12.485,-16.5469,Auberge du Routard
213,Tura,IN,71.8,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
214,Kandi,BJ,86.77,broken clouds,11.1342,2.9386,Baric Motel De Kandi
216,Ondjiva,AO,67.66,broken clouds,-17.0667,15.7333,SOS Motel
218,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
219,Madang,PG,79.16,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
221,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,Reserva do Abiaí
227,Bondoukou,CI,75.33,light rain,8.0333,-2.8,Prestige Hotel
233,Porto Novo,BJ,84.2,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
235,Saint Pete Beach,US,82.0,broken clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
236,Namibe,AO,78.04,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
237,Khorramshahr,IR,78.8,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
240,Mareeba,AU,77.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
