City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,60.01,78,96,1.99,overcast clouds
1,Avera,US,33.194,-82.5271,68.0,32,40,5.75,scattered clouds
2,Port Alfred,ZA,-33.5906,26.891,66.45,72,0,21.5,clear sky
3,San Cristobal,VE,7.7669,-72.225,84.2,65,20,8.05,few clouds
4,Pisco,PE,-13.7,-76.2167,66.99,82,0,11.5,clear sky
5,Narsaq,GL,60.9167,-46.05,41.0,60,1,5.75,clear sky
6,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,92,4.61,overcast clouds
7,Mataura,NZ,-46.1927,168.8643,52.0,89,72,1.01,broken clouds
8,Hastings,GB,50.8552,0.5729,46.4,87,12,16.11,few clouds
9,Port Macquarie,AU,-31.4333,152.9167,64.99,70,36,3.49,scattered clouds
10,Christchurch,NZ,-43.5333,172.6333,64.4,59,57,9.22,broken clouds
11,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,20,13.8,light rain
12,Cherskiy,RU,68.75,161.3,23.49,93,100,5.1,light snow
13,Lindi,TZ,-10.0,39.7167,72.32,96,62,8.05,broken clouds
14,Upernavik,GL,72.7868,-56.1549,29.44,84,100,4.88,overcast clouds
15,Inta,RU,66.0317,60.1659,33.46,92,82,8.23,broken clouds
16,Kaitangata,NZ,-46.2817,169.8464,55.0,74,38,3.0,scattered clouds
17,Qaanaaq,GL,77.484,-69.3632,19.83,84,100,4.74,overcast clouds
18,Hilo,US,19.7297,-155.09,82.4,54,40,12.66,light rain
19,Oriximina,BR,-1.7656,-55.8661,76.1,92,86,3.22,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,78.75,68,100,17.11,overcast clouds
21,Cap Malheureux,MU,-19.9842,57.6142,77.0,82,99,1.99,light rain
22,Port Elizabeth,ZA,-33.918,25.5701,60.8,88,0,6.91,clear sky
23,Grand Gaube,MU,-20.0064,57.6608,77.0,82,99,1.99,light rain
24,Ribeira Grande,PT,38.5167,-28.7,57.2,82,40,27.63,scattered clouds
25,Faanui,PF,-16.4833,-151.75,80.17,74,84,10.47,light rain
26,Ornskoldsvik,SE,63.2909,18.7153,35.6,55,90,16.11,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,41.0,93,75,5.75,broken clouds
28,Bluff,NZ,-46.6,168.3333,52.0,89,85,1.01,light rain
29,Nanortalik,GL,60.1432,-45.2371,36.3,87,14,3.62,few clouds
30,Dikson,RU,73.5069,80.5464,32.13,97,100,17.36,overcast clouds
31,Gornoye Loo,RU,43.7129,39.6049,53.01,71,100,2.24,light rain
32,Antalaha,MG,-14.9003,50.2788,72.59,92,99,6.02,overcast clouds
33,Trairi,BR,-3.2778,-39.2689,78.96,82,97,6.91,overcast clouds
34,Araouane,ML,18.9048,-3.5265,88.56,10,0,5.95,clear sky
35,Itarema,BR,-2.9248,-39.9167,79.65,80,51,11.52,broken clouds
36,Saint-Louis,SN,16.3333,-15.0,80.6,39,0,4.61,clear sky
37,Kodiak,US,57.79,-152.4072,39.2,87,90,6.91,light rain
38,Dzhebariki-Khaya,RU,62.2167,135.8,18.77,85,77,5.26,broken clouds
39,Avarua,CK,-21.2078,-159.775,82.4,74,40,19.57,scattered clouds
40,Saraipali,IN,21.3333,83.0,81.25,20,29,2.13,scattered clouds
41,Yumen,CN,40.2833,97.2,37.72,84,42,2.24,scattered clouds
42,Hithadhoo,MV,-0.6,73.0833,81.95,73,8,7.85,clear sky
43,Cidreira,BR,-30.1811,-50.2056,70.57,78,2,17.76,clear sky
44,Portland,US,45.5234,-122.6762,63.0,36,75,5.75,broken clouds
45,Tasiilaq,GL,65.6145,-37.6368,37.4,52,75,16.11,broken clouds
46,Nome,US,64.5011,-165.4064,42.8,52,1,4.61,clear sky
47,Barrow,US,71.2906,-156.7887,26.6,74,1,6.91,clear sky
48,Lebu,CL,-37.6167,-73.65,53.83,92,26,7.29,scattered clouds
49,Adrar,MR,20.5022,-10.0711,78.69,11,0,11.61,clear sky
50,Cravo Norte,CO,6.3017,-70.2041,88.48,44,96,5.08,overcast clouds
51,Rocha,UY,-34.4833,-54.3333,63.1,93,4,9.33,clear sky
